Date,Flight,A/C Type,Route,ETD
2022-01-31,VN356,A321,HAN-FUK,2022-01-31 01:55:00
2022-01-31,VN356,A321,HAN-FUK,2022-01-31 02:03:00
2022-01-31,VN356,A321,HAN-FUK,2022-01-31 02:27:00
2022-01-31,VN330,A350,SGN-HAN-KIX,2022-01-31 02:31:00
2022-01-31,VN7255,B787,SGN-HAN-SGN,2022-01-31 02:59:00
2022-01-31,VN7257,A321,HAN-SGN,2022-01-31 03:07:00
2022-01-31,VN7257,A321,HAN-SGN,2022-01-31 03:09:00
2022-01-31,VN7245,A321,HAN-SGN,2022-01-31 03:09:00
2022-01-31,VN7257,A321,HAN-SGN,2022-01-31 03:09:00
2022-01-31,VN7257,A321,SGN-HAN-SGN,2022-01-31 03:10:00
2022-01-31,VN7245,A321,HAN-SGN,2022-01-31 03:15:00
2022-01-31,VN7073,A321,HAN-SGN,2022-01-31 03:15:00
2022-01-31,VN7073,A321,HAN-HAN,2022-01-31 03:15:00
2022-01-31,VN7245,A321,HAN-SGN,2022-01-31 03:15:00
2022-01-31,VN7245,A321,CXR-HAN-SGN,2022-01-31 03:16:00
2022-01-31,VN7245,A321,HAN-SGN,2022-01-31 03:16:00
2022-01-31,VN7257,A321,HAN-SGN,2022-01-31 03:20:00
2022-01-31,VN7073,A321,HAN-SGN,2022-01-31 03:22:00
2022-01-31,VN7073,A321,HAN-SGN,2022-01-31 03:24:00
2022-01-31,VN7071,A321,HAN-SGN,2022-01-31 03:28:00
2022-01-31,VN7247,A321,HAN-SGN,2022-01-31 03:29:00
2022-01-31,VN7247,A321,SGN-HAN-SGN,2022-01-31 03:29:00
2022-01-31,VN7247,A321,HAN-SGN,2022-01-31 03:31:00
2022-01-31,VN7247,A321,HAN-SGN,2022-01-31 03:34:00
2022-01-31,VN7267,A321,HAN-SGN,2022-01-31 03:38:00
2022-01-31,VN7267,A321,CXR-HAN-SGN,2022-01-31 03:38:00
2022-01-31,VN7241,A321,SGN-HAN-SGN,2022-01-31 03:40:00
2022-01-31,VN7247,A321,HAN-SGN,2022-01-31 03:40:00
2022-01-31,VN7241,A321,HAN-SGN,2022-01-31 03:42:00
2022-01-31,VN7267,B787,SGN-HAN-SGN,2022-01-31 03:43:00
2022-01-31,VN7247,A321,HAN-SGN,2022-01-31 03:48:00
2022-01-31,VN7241,A321,HAN-SGN,2022-01-31 03:48:00
2022-01-31,VN7267,A350,SGN-HAN-SGN,2022-01-31 03:49:00
2022-01-31,VN7267,A350,SGN-HAN-SGN,2022-01-31 03:53:00
2022-01-31,VN7241,A321,SGN-HAN-SGN,2022-01-31 03:55:00
2022-01-31,VN7241,A321,HAN-SGN,2022-01-31 03:55:00
2022-01-31,VN7551,A321,HAN-CXR,2022-01-31 04:21:00
2022-01-31,VN7071,A350,SGN-HAN-SGN,2022-01-31 04:38:00
2022-01-31,VN205,A321,HAN-SGN,2022-01-31 04:52:00
2022-01-31,VN205,A321,HAN-SGN,2022-01-31 04:56:00
2022-01-31,VN7257,B787,SGN-HAN-SGN,2022-01-31 05:00:00
